Site;Night_Date;Id;Positive_min;Validation;Nb_contacts;X;Y;Habitat1;Habitat2;Machine;Opérateur;Projet;start;end;diff
Aire de pic nic Lahage;04/06/2016;ChiroSp;40;;48;232548;37384;;;SM2-2;P. Verte;Barbalux;21:56;05:06;7,16666666666667
Aire de pic nic Lahage;04/06/2016;Myosp;1;;1;232548;37384;;;SM2-2;P. Verte;Barbalux;21:56;05:06;7,16666666666667
Aire de pic nic Lahage;04/06/2016;parasi;2;;2;232548;37384;;;SM2-2;P. Verte;Barbalux;21:56;05:06;7,16666666666667
Aire de pic nic Lahage;04/06/2016;Pip50;5;;5;232548;37384;;;SM2-2;P. Verte;Barbalux;21:56;05:06;7,16666666666667
Aire de pic nic Lahage;04/06/2016;PippiT;107;;179;232548;37384;;;SM2-2;P. Verte;Barbalux;21:56;05:06;7,16666666666667
Antrogne (Archifontaine);09/07/2016;Barbar;7;Smits Q.;8;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Archifontaine);09/07/2016;ChiroSp;30;;56;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Archifontaine);09/07/2016;ENVsp;1;A. Flipo;1;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Archifontaine);09/07/2016;Myosp;14;;16;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Archifontaine);09/07/2016;Nyclei;2;A. Flipo - Smits Q.;2;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Archifontaine);09/07/2016;Pip50;2;;2;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Archifontaine);09/07/2016;PippiT;54;;95;215850;54067;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:46;05:19;7,55
Antrogne (Aulnaie);08/07/2016;ChiroSp;119;A. Flipo - Smits Q.;210;213783;51473;Forêt feuillue;;SM2-A;Nicolas J.P.;Barbalux;21:47;05:34;7,78333333333333
Antrogne (Aulnaie);08/07/2016;ENVsp;1;Smits Q.;1;213783;51473;Forêt feuillue;;SM2-A;Nicolas J.P.;Barbalux;21:47;05:34;7,78333333333333
Antrogne (Aulnaie);08/07/2016;Myosp;17;;19;213783;51473;Forêt feuillue;;SM2-A;Nicolas J.P.;Barbalux;21:47;05:34;7,78333333333333
Antrogne (Aulnaie);08/07/2016;parasi;1;;1;213783;51473;Forêt feuillue;;SM2-A;Nicolas J.P.;Barbalux;21:47;05:34;7,78333333333333
Antrogne (Aulnaie);08/07/2016;Pip50;5;;5;213783;51473;Forêt feuillue;;SM2-A;Nicolas J.P.;Barbalux;21:47;05:34;7,78333333333333
Antrogne (Aulnaie);08/07/2016;PippiT;181;;594;213783;51473;Forêt feuillue;;SM2-A;Nicolas J.P.;Barbalux;21:47;05:34;7,78333333333333
Antrogne (Demi-Terme);09/07/2016;ChiroSp;59;Smits Q.;155;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Myosp;10;A. Flipo;10;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Nyclei;1;Smits Q.;1;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Parasi;1;A. Flipo;1;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Pip35;6;;8;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Pip50;2;;2;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Pipnat;6;A. Flipo;10;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;PippiT;136;;485;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (Demi-Terme);09/07/2016;Rhifer;1;A. Flipo;1;214555;53425;Forêt résineuse;;SM2-A;Nicolas J.P.;Barbalux;21:45;05:23;7,63333333333333
Antrogne (L. Chenois);08/07/2016;ChiroSp;181;A. Flipo - Smits Q.;339;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;ENVsp;22;Smits Q.;31;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Eptser;2;Smits Q.;2;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Myomyo;1;Smits Q.;1;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Myosp;9;;15;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Nyclei;20;Smits Q.;21;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;parasi;3;;3;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Pip35;4;;4;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Pip50;6;;6;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;Pipnat;18;A. Flipo;21;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Antrogne (L. Chenois);08/07/2016;PippiT;330;;1150;214251;53086;Forêt feuillue;;SM2-B;Nicolas J.P.;Barbalux;21:53;05:29;7,6
Au Savlon;07/08/2016;ChiroSp;118;A. Flipo - Smits Q.;249;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
