N°placette;Code;X;Y;D;SERVICE;CARTE;TYPE;TYPE_DESCR IGN
0;0.4;83500;137500;4;DIRECTION DE MONS;44_3n;VE231;Végétation rudérale
1;1.4;103500;122000;4;DIRECTION DE MONS;45_5s;VE340;Surface agricole ou culture maraîchère
2;2.4;109500;123500;4;DIRECTION DE MONS;45_6n;VE340;Surface agricole ou culture maraîchère
3;3.4;121500;142000;4;DIRECTION DE MONS;38_7s;VE340;Surface agricole ou culture maraîchère
4;4.4;121500;137000;4;DIRECTION DE MONS;45_3n;VE340;Surface agricole ou culture maraîchère
5;5.4;122500;144500;4;DIRECTION DE MONS;38_8n;VE340;Surface agricole ou culture maraîchère
6;6.4;127500;146000;4;DIRECTION DE MONS;38_8n;VE340;Surface agricole ou culture maraîchère
7;7.4;148500;142500;4;DIRECTION DE MONS;39_7s;VE320;Prairie ou pré de fauche
8;8.5;167500;136500;5;DIRECTION DE NAMUR;47_1n;ST911;Bâtiment ordinaire
9;9.4;157500;122000;4;DIRECTION DE MONS;46_8s;RO112;Route
10;10.4;150500;114000;4;DIRECTION DE MONS;52_3n;VE340;Surface agricole ou culture maraîchère
11;11.5;167500;111500;5;DIRECTION DE NAMUR;53_1s;VE340;Surface agricole ou culture maraîchère
12;12.5;157500;89500;5;DIRECTION DE NAMUR;57_4s;VE113;Feuillus en futaie avec sous-bois ligneux
13;13.5;162500;94000;5;DIRECTION DE NAMUR;58_1n;VE320;Prairie ou pré de fauche
14;14.5;163500;94000;5;DIRECTION DE NAMUR;58_1n;VE113;Feuillus en futaie avec sous-bois ligneux
15;15.5;164500;98000;5;DIRECTION DE NAMUR;58_1n;VE320;Prairie ou pré de fauche
16;16.4;146500;81000;4;DIRECTION DE MONS;57_7s;VE320;Prairie ou pré de fauche
17;17.5;161500;79000;5;DIRECTION DE NAMUR;57_8s;VE113;Feuillus en futaie avec sous-bois ligneux
18;18.4;93500;157500;4;DIRECTION DE MONS;37_4n;VE340;Surface agricole ou culture maraîchère
19;19.4;111500;153000;4;DIRECTION DE MONS;38_2s;VE330;Jardin d'agrément ou potager
20;20.4;156500;151500;4;DIRECTION DE MONS;39_4s;VE330;Jardin d'agrément ou potager
21;21.4;192500;161500;4;DIRECTION DE MONS;32_8s;VE340;Surface agricole ou culture maraîchère
22;22.2;203500;153000;2;DIRECTION DE LIEGE;41_2s;VE340;Surface agricole ou culture maraîchère
23;23.2;230500;154000;2;DIRECTION DE LIEGE;42_1n;VE340;Surface agricole ou culture maraîchère
24;24.2;237500;154500;2;DIRECTION DE LIEGE;42_2n;VE232;Végétation rudérale buissonneuse
25;25.2;245500;155500;2;DIRECTION DE LIEGE;42_3n;VE140;Verger
26;26.2;244500;155000;2;DIRECTION DE LIEGE;42_3n;VE140;Verger
27;27.2;249500;149500;2;DIRECTION DE LIEGE;42_3s;VE320;Prairie ou pré de fauche
28;28.2;251500;151500;2;DIRECTION DE LIEGE;42_4s;VE330;Jardin d'agrément ou potager
29;29.6;276500;151500;6;DIRECTION DE MALMEDY-BULLANGE;43_3s;VE120;Conifères
30;30.8;192500;73500;8;DIRECTION DE DINANT;63_4n;VE120;Conifères
31;31.7;201500;79500;7;DIRECTION DE NEUFCHATEAU;59_5s;VE113;Feuillus en futaie avec sous-bois ligneux
